Ledger,Date,Account,D/C,Amount
AAA,44523,110000,D,98178
AAA,44523,250000,C,98178
AAA,44539,816000,D,1470
AAA,44539,115000,C,1470
AAA,44568,816000,D,1470
AAA,44568,115000,C,1470
AAA,44599,816000,D,1470
AAA,44599,115000,C,1470
AAA,44629,816000,D,1470
AAA,44629,115000,C,1470
AAA,44660,816000,D,1470
AAA,44660,115000,C,1470
AAA,44690,816000,D,1470
AAA,44690,115000,C,1470
AAA,44721,816000,D,1470
AAA,44721,115000,C,1470
AAA,44752,816000,D,1470
AAA,44752,115000,C,1470
AAA,44782,816000,D,1470
AAA,44782,115000,C,1470
AAA,44813,816000,D,1470
AAA,44813,115000,C,1470
AAA,44843,816000,D,1470
AAA,44843,115000,C,1470
AAA,44874,816000,D,1470
AAA,44874,115000,C,1470
AAA,44883,100000,D,270000000
AAA,44883,250000,C,270000000
AAA,44886,100000,D,20400000
AAA,44886,250000,C,20400000
AAA,44889,100000,D,42000000
AAA,44889,250000,C,42000000
AAA,44894,100000,D,57600000
AAA,44894,250000,C,57600000
AAA,44899,100000,D,79200000
AAA,44899,250000,C,79200000
AAA,44905,100000,D,20400000
AAA,44905,250000,C,20400000
AAA,44905,816000,D,1470
AAA,44905,115000,C,1470
AAA,44889,110000,D,554628
AAA,44889,250000,C,554628
AAA,44905,816000,D,8322
AAA,44905,115000,C,8322
AAA,44905,811000,D,4998
AAA,44905,320000,C,4998
AAA,44907,100000,D,40800000
AAA,44907,250000,C,40800000
AAA,44915,100000,D,57600000
AAA,44915,250000,C,57600000
AAA,44920,100000,D,79200000
AAA,44920,250000,C,79200000
AAA,44923,100000,D,20400000
AAA,44923,250000,C,20400000
AAA,44925,100000,D,40800000
AAA,44925,250000,C,40800000
AAA,44933,816000,D,1470
AAA,44933,115000,C,1470
AAA,44933,816000,D,8322
AAA,44933,115000,C,8322
AAA,44920,110000,D,464316
AAA,44920,250000,C,464316
AAA,44933,816000,D,6966
AAA,44933,115000,C,6966
AAA,44933,811000,D,4998
AAA,44933,320000,C,4998
AAA,44939,100000,D,57600000
AAA,44939,250000,C,57600000
AAA,44942,100000,D,79200000
AAA,44942,250000,C,79200000
AAA,44942,100000,D,20400000
AAA,44942,250000,C,20400000
AAA,44948,100000,D,40800000
AAA,44948,250000,C,40800000
AAA,44949,100000,D,57600000
AAA,44949,250000,C,57600000
AAA,44962,100000,D,80400000
AAA,44962,250000,C,80400000
AAA,44964,816000,D,1470
AAA,44964,115000,C,1470
AAA,44964,816000,D,8322
AAA,44964,115000,C,8322
AAA,44964,816000,D,6966
AAA,44964,115000,C,6966
AAA,44948,110000,D,697302
AAA,44948,250000,C,697302
AAA,44964,816000,D,10458
AAA,44964,115000,C,10458
AAA,44964,811000,D,4998
AAA,44964,320000,C,4998
AAA,44969,100000,D,20700000
AAA,44969,250000,C,20700000
AAA,44973,100000,D,41760000
AAA,44973,250000,C,41760000
AAA,44979,100000,D,59040000
AAA,44979,250000,C,59040000
AAA,44984,100000,D,82800000
AAA,44984,250000,C,82800000
AAA,44986,100000,D,20700000
AAA,44986,250000,C,20700000
AAA,44989,100000,D,41400000
AAA,44989,250000,C,41400000
AAA,44992,100000,D,59400000
AAA,44992,250000,C,59400000
AAA,44994,100000,D,80640000
AAA,44994,250000,C,80640000
AAA,44994,816000,D,1470
AAA,44994,115000,C,1470
AAA,44994,816000,D,8322
AAA,44994,115000,C,8322
AAA,44994,816000,D,6966
AAA,44994,115000,C,6966
AAA,44994,816000,D,10458
AAA,44994,115000,C,10458
AAA,44979,110000,D,609606
AAA,44979,250000,C,609606
AAA,44994,816000,D,9144
AAA,44994,115000,C,9144
AAA,44994,811000,D,4998
AAA,44994,320000,C,4998
AAA,45025,250000,D,1500000000
AAA,45025,450000,C,1500000000
AAA,45025,450000,D,49986270
AAA,45025,350000,C,49986270
AAA,44996,100000,D,20400000
AAA,44996,250000,C,20400000
AAA,45003,100000,D,41760000
AAA,45003,250000,C,41760000
AAA,45004,100000,D,57600000
AAA,45004,250000,C,57600000
AAA,45014,100000,D,79200000
AAA,45014,250000,C,79200000
AAA,45019,100000,D,21000000
AAA,45019,250000,C,21000000
AAA,45025,100000,D,42000000
AAA,45025,250000,C,42000000
AAA,45025,816000,D,1470
AAA,45025,115000,C,1470
AAA,45025,816000,D,8322
AAA,45025,115000,C,8322
AAA,45025,816000,D,6966
AAA,45025,115000,C,6966
AAA,45025,816000,D,10458
AAA,45025,115000,C,10458
AAA,45025,816000,D,9144
AAA,45025,115000,C,9144
AAA,45009,110000,D,675654
AAA,45009,250000,C,675654
AAA,45025,816000,D,10134
AAA,45025,115000,C,10134
AAA,45025,811000,D,4998
AAA,45025,320000,C,4998
AAA,45055,813000,D,4999998
AAA,45055,330000,C,4999998
AAA,45055,450000,D,50152890
AAA,45055,350000,C,50152890
AAA,45055,450000,C,49986270
AAA,45055,350000,D,49986270
AAA,45034,100000,D,59400000
AAA,45034,250000,C,59400000
AAA,45035,100000,D,81600000
AAA,45035,250000,C,81600000
AAA,45038,100000,D,21000000
AAA,45038,250000,C,21000000
AAA,45040,100000,D,42000000
AAA,45040,250000,C,42000000
AAA,45040,100000,D,59400000
AAA,45040,250000,C,59400000
AAA,45044,100000,D,81600000
AAA,45044,250000,C,81600000
AAA,45045,100000,D,20400000
AAA,45045,250000,C,20400000
AAA,45050,100000,D,42000000
AAA,45050,250000,C,42000000
AAA,45055,100000,D,59400000
AAA,45055,250000,C,59400000
AAA,45055,100000,D,80400000
AAA,45055,250000,C,80400000
AAA,45055,816000,D,1470
AAA,45055,115000,C,1470
AAA,45055,816000,D,8322
AAA,45055,115000,C,8322
AAA,45055,816000,D,6966
AAA,45055,115000,C,6966
AAA,45055,816000,D,10458
AAA,45055,115000,C,10458
AAA,45055,816000,D,9144
AAA,45055,115000,C,9144
AAA,45055,816000,D,10134
AAA,45055,115000,C,10134
AAA,45040,110000,D,750546
AAA,45040,250000,C,750546
AAA,45055,816000,D,11256
AAA,45055,115000,C,11256
AAA,45055,811000,D,4998
AAA,45055,320000,C,4998
AAA,45058,330000,D,4999998
AAA,45058,450000,D,4089708
AAA,45058,250000,C,9089706
AAA,45086,813000,D,4986366
AAA,45086,330000,C,4986366
AAA,45086,450000,D,50320062
AAA,45086,350000,C,50320062
AAA,45086,450000,C,50152890
AAA,45086,350000,D,50152890
AAA,45086,250000,D,15430500
AAA,45086,310000,C,15430500
AAA,45056,250000,D,72000
AAA,45056,310000,C,72000
AAA,45077,250000,D,972000
AAA,45077,310000,C,972000
AAA,45086,816000,D,1470
AAA,45086,115000,C,1470
AAA,45086,816000,D,8322
AAA,45086,115000,C,8322
AAA,45086,816000,D,6966
AAA,45086,115000,C,6966
AAA,45086,816000,D,10458
AAA,45086,115000,C,10458
AAA,45086,816000,D,9144
AAA,45086,115000,C,9144
AAA,45086,816000,D,10134
AAA,45086,115000,C,10134
AAA,45086,816000,D,11256
AAA,45086,115000,C,11256
AAA,45070,110000,D,505794
AAA,45070,250000,C,505794
AAA,45086,816000,D,7584
AAA,45086,115000,C,7584
AAA,45086,811000,D,4998
AAA,45086,320000,C,4998
AAA,45089,330000,D,4986366
AAA,45089,450000,D,4103340
AAA,45089,250000,C,9089706
AAA,45117,813000,D,4972692
AAA,45117,330000,C,4972692
AAA,45117,450000,D,50487798
AAA,45117,350000,C,50487798
AAA,45117,450000,C,50320062
AAA,45117,350000,D,50320062
AAA,45096,250000,D,156600
AAA,45096,310000,C,156600
AAA,45117,816000,D,1470
AAA,45117,115000,C,1470
AAA,45117,816000,D,8322
AAA,45117,115000,C,8322
AAA,45117,816000,D,6966
AAA,45117,115000,C,6966
AAA,45117,816000,D,10458
AAA,45117,115000,C,10458
AAA,45117,816000,D,9144
AAA,45117,115000,C,9144
AAA,45117,816000,D,10134
AAA,45117,115000,C,10134
AAA,45117,816000,D,11256
AAA,45117,115000,C,11256
AAA,45117,816000,D,7584
AAA,45117,115000,C,7584
AAA,45101,110000,D,255162
AAA,45101,250000,C,255162
AAA,45117,816000,D,3828
AAA,45117,115000,C,3828
AAA,45117,811000,D,4998
AAA,45117,320000,C,4998
AAA,45120,330000,D,4972692
AAA,45120,450000,D,4117014
AAA,45120,250000,C,9089706
AAA,45147,813000,D,4958964
AAA,45147,330000,C,4958964
AAA,45147,450000,D,50656092
AAA,45147,350000,C,50656092
AAA,45147,450000,C,50487798
AAA,45147,350000,D,50487798
AAA,45118,151000,D,120000
AAA,45118,151000,D,120000
AAA,45118,151000,D,120000
AAA,45118,151000,D,120000
AAA,45118,152000,C,480000
AAA,45118,152000,D,120000
AAA,45118,610000,C,120000
AAA,45118,232000,D,120000
AAA,45118,151000,C,120000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,152000,C,720000
AAA,45118,152000,D,180000
AAA,45118,610000,C,180000
AAA,45118,232000,D,180000
AAA,45118,151000,C,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,152000,C,2160000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,152000,C,2160000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,151000,D,180000
AAA,45118,152000,C,1440000
AAA,45118,250000,D,4824900
AAA,45118,310000,C,4824900
AAA,45147,816000,D,1470
AAA,45147,115000,C,1470
AAA,45147,816000,D,8322
AAA,45147,115000,C,8322
AAA,45147,816000,D,6966
AAA,45147,115000,C,6966
AAA,45147,816000,D,10458
AAA,45147,115000,C,10458
AAA,45147,816000,D,9144
AAA,45147,115000,C,9144
AAA,45147,816000,D,10134
AAA,45147,115000,C,10134
AAA,45147,816000,D,11256
AAA,45147,115000,C,11256
AAA,45147,816000,D,7584
AAA,45147,115000,C,7584
AAA,45147,816000,D,3828
AAA,45147,115000,C,3828
AAA,45132,110000,D,494484
AAA,45132,250000,C,494484
AAA,45147,816000,D,7416
AAA,45147,115000,C,7416
AAA,45147,811000,D,4998
AAA,45147,320000,C,4998
AAA,45150,330000,D,4958964
AAA,45150,450000,D,4130736
AAA,45150,250000,C,9089700
AAA,45178,813000,D,4945200
AAA,45178,330000,C,4945200
AAA,45178,450000,D,50824944
AAA,45178,350000,C,50824944
AAA,45178,450000,C,50656092
AAA,45178,350000,D,50656092
AAA,45148,151000,D,3000000
AAA,45148,151000,D,3000000
AAA,45148,151000,D,3000000
AAA,45148,152000,C,9000000
AAA,45148,152000,D,2857500
AAA,45148,610000,C,2857500
AAA,45148,232000,D,3000000
AAA,45148,151000,C,3000000
AAA,45148,151000,D,600000
AAA,45148,151000,D,600000
AAA,45148,151000,D,600000
AAA,45148,152000,C,1800000
AAA,45148,151000,D,3030000
AAA,45148,151000,D,3030000
AAA,45148,151000,D,3030000
AAA,45148,151000,D,3030000
AAA,45148,151000,D,3030000
AAA,45148,151000,D,3030000
AAA,45148,151000,D,3030000
AAA,45148,151000,D,3030000
AAA,45148,151000,D,3030000
AAA,45148,152000,C,27270000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,151000,D,3060000
AAA,45148,152000,C,36720000
AAA,45148,151000,D,3120000
AAA,45148,151000,D,3120000
AAA,45148,151000,D,3120000
AAA,45148,151000,D,3120000
AAA,45148,151000,D,3120000
AAA,45148,151000,D,3120000
AAA,45148,151000,D,3120000
AAA,45148,151000,D,3120000
AAA,45148,151000,D,3120000
AAA,45148,152000,C,28080000
AAA,45178,152000,D,120000
AAA,45178,610000,C,120000
AAA,45178,232000,D,120000
AAA,45178,151000,C,120000
AAA,45178,250000,D,120000
AAA,45178,232000,C,120000
AAA,45148,151000,D,348000
AAA,45148,151000,D,348000
AAA,45148,151000,D,348000
AAA,45148,152000,C,1044000
AAA,45148,152000,D,348000
AAA,45148,610000,C,348000
AAA,45148,232000,D,348000
AAA,45148,151000,C,348000
AAA,45178,152000,D,180000
AAA,45178,610000,C,180000
AAA,45178,232000,D,180000
AAA,45178,151000,C,180000
AAA,45178,250000,D,180000
AAA,45178,232000,C,180000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,152000,C,2682000
AAA,45148,152000,D,893502
AAA,45148,610000,C,893502
AAA,45148,232000,D,894000
AAA,45148,151000,C,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,151000,D,894000
AAA,45148,152000,C,10728000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,151000,D,888000
AAA,45148,152000,C,10656000
AAA,45148,151000,D,900000
AAA,45148,151000,D,900000
AAA,45148,151000,D,900000
AAA,45148,151000,D,900000
AAA,45148,151000,D,900000
AAA,45148,151000,D,900000
AAA,45148,151000,D,900000
AAA,45148,151000,D,900000
AAA,45148,151000,D,900000
AAA,45148,152000,C,8100000
AAA,45178,816000,D,1470
AAA,45178,115000,C,1470
AAA,45178,816000,D,8322
AAA,45178,115000,C,8322
AAA,45178,816000,D,6966
AAA,45178,115000,C,6966
AAA,45178,816000,D,10458
AAA,45178,115000,C,10458
AAA,45178,816000,D,9144
AAA,45178,115000,C,9144
AAA,45178,816000,D,10134
AAA,45178,115000,C,10134
AAA,45178,816000,D,11256
AAA,45178,115000,C,11256
AAA,45178,816000,D,7584
AAA,45178,115000,C,7584
AAA,45178,816000,D,3828
AAA,45178,115000,C,3828
AAA,45178,816000,D,7416
AAA,45178,115000,C,7416
AAA,45162,110000,D,187746
AAA,45162,250000,C,187746
AAA,45178,816000,D,2814
AAA,45178,115000,C,2814
AAA,45178,811000,D,4998
AAA,45178,320000,C,4998
AAA,45181,330000,D,4945200
AAA,45181,450000,D,4144506
AAA,45181,250000,C,9089706
AAA,45208,813000,D,4931382
AAA,45208,330000,C,4931382
AAA,45208,450000,D,50994360
AAA,45208,350000,C,50994360
AAA,45208,450000,C,50824944
AAA,45208,350000,D,50824944
AAA,45208,152000,D,2857500
AAA,45208,610000,C,2857500
AAA,45208,232000,D,3000000
AAA,45208,151000,C,3000000
AAA,45208,250000,D,3000000
AAA,45208,232000,C,3000000
AAA,45208,152000,D,120000
AAA,45208,610000,C,120000
AAA,45208,232000,D,120000
AAA,45208,151000,C,120000
AAA,45203,250000,D,399600
AAA,45203,310000,C,399600
AAA,45208,152000,D,348000
