Date,Customer,Product, Quantity ,Unit Code,Currency, Unit Price , Amount 
2-Jan-22,Tiger Company,Apple,20,Box,USD,30.00 ,600.00 
9-May-22,Tiger Company,Avocado,5,Box,USD,19.50 ,97.50 
12-Jul-22,Tiger Company,Mango,30,Box,USD,30.00 ,900.00 
18-Sep-22,Tiger Company,Apple,10,Box,USD,30.00 ,300.00 
12-Oct-22,Tiger Company,Avocado,9,Box,USD,19.50 ,175.50 
12-Jan-22,Lion Limited,Orange,50,Box,USD,38.00 ,1900.00 
20-Mar-22,Lion Limited,Pear,18,Box,USD,8.00 ,144.00 
18-May-22,Lion Limited,Orange,30,Box,USD,38.00 ,1140.00 
15-Aug-22,Lion Limited,Banana,15,Kg,USD,4.00 ,60.00 
19-Jan-22,Dog Inc.,Pear,10,Box,USD,8.00 ,80.00 
30-Apr-22,Dog Inc.,Banana,5,Kg,USD,4.00 ,20.00 
20-Jul-22,Dog Inc.,Apple,30,Box,USD,30.00 ,900.00 
30-Sep-22,Dog Inc.,Pear,8,Box,USD,8.00 ,64.00 
20-Nov-22,Dog Inc.,Grape,10,Kg,USD,11.00 ,110.00 
6-Jan-22,Cat Company Limited,Avocado,6,Box,USD,19.50 ,117.00 
30-Jun-22,Cat Company Limited,Mango,5,Box,USD,30.00 ,150.00 
15-Aug-22,Cat Company Limited,Avocado,10,Box,USD,19.50 ,195.00 
19-Nov-22,Cat Company Limited,Mango,15,Box,USD,30.00 ,450.00 
18-Feb-22,Pig Inc.,Orange,30,Box,USD,38.00 ,1140.00 
15-Mar-22,Pig Inc.,Pear,10,Box,USD,8.00 ,80.00 
20-Oct-22,Pig Inc.,Grape,20,Kg,USD,11.00 ,220.00 
15-Jan-22,Sheep Limited,Orange,10,Box,USD,38.00 ,380.00 
18-Feb-22,Sheep Limited,Apple,20,Box,USD,30.00 ,600.00 
19-Mar-22,Sheep Limited,Avocado,3,Box,USD,19.50 ,58.50 
25-Aug-22,Sheep Limited,Orange,20,Box,USD,38.00 ,760.00 
16-Oct-22,Sheep Limited,Apple,50,Box,USD,30.00 ,1500.00 
30-Jan-22,Rat Company,Avocado,10,Box,USD,19.50 ,195.00 
26-Feb-22,Rat Company,Mango,20,Box,USD,30.00 ,600.00 
15-Apr-22,Rat Company,Orange,15,Box,USD,38.00 ,570.00 
16-May-22,Rat Company,Banana,25,Kg,USD,4.00 ,100.00 
15-Jul-22,Rat Company,Pear,30,Box,USD,8.00 ,240.00 
